,author,description,publishedAt,source,title,url,urlToImage
2831,Todd Starnes Show,"U.S. President Donald Trump said he had committed no wrongdoing but has the ""absolute"" power to pardon himself, echoing sweeping arguments put forth by his lawyer Rudy Giuliani on Sunday. The remarks come as U.S. Special Counsel Robert Mueller's investigation…",2018-06-04T19:39:03Z,fox news,Fox News Senior Judicial Analyst Judge Andrew Napolitano on Trump’s Right To Pardon Himself: Politically It Would Be Catastrophic,https://radio.foxnews.com/2018/06/04/fox-news-senior-judicial-analyst-judge-andrew-napolitano-on-trumps-right-to-pardon-himself-politically-it-would-be-catastrophic/,https://radio.foxnews.com/wp-content/uploads/2018/04/Trump-new.jpg
2832,,"'MediaBuzz' host Howard Kurtz weighs in on the media debating President Trump's tweet that he could pardon himself, but won't need to.",2018-06-04T19:38:56Z,fox news,"Kurtz: Pardon me, Trump self-pardon debate is hypothetical",http://video.foxnews.com/v/5793454304001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793462041001_5793454304001-vs.jpg
2833,Elizabeth Llorente,"A former Navy sailor who is one of five people to receive a pardon from President Donald Trump is planning to file a lawsuit against Obama administration officials, alleging that he was subject to unequal protection of the law.",2018-06-04T19:29:47Z,fox news,Ex-Navy sailor pardoned by Trump says he's suing Comey and Obama,http://www.foxnews.com/politics/2018/06/04/ex-navy-sailor-pardoned-by-trump-says-hes-suing-comey-and-obama.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/03/10/0/0/694940094001_5748982424001_5748968463001-vs.jpg?ve=1
2834,,Judge Andrew P. Napolitano breaks down whether or not President Trump can pardon himself and what would happen if he did.,2018-06-04T19:26:27Z,fox news,Napolitano: Can President Trump pardon himself?,http://video.foxnews.com/v/5793450050001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793453026001_5793450050001-vs.jpg
2835,,"The Sunshine State received about 150,000 Puerto Rican evacuees within just five months of last September’s deadly Hurricane Maria, most of them settling in Central Florida's Orange County. In the storm’s immediate aftermath, the local and federal government,…",2018-06-04T19:23:32Z,fox news,Post-Maria Puerto Rican migration reshapes Central Florida,http://video.foxnews.com/v/5793449098001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793453034001_5793449098001-vs.jpg
2836,Associated Press,"Fox News Pentagon probing allegations against White House physician Fox News WASHINGTON – The Pentagon's inspector general has opened an investigation of Navy Rear Adm. Ronny Jackson, the White House doctor whose nomination to head the Department of Veterans …",2018-06-04T19:22:05Z,fox news,Pentagon probing allegations against White House physician - Fox News,http://www.foxnews.com/us/2018/06/04/pentagon-probing-allegations-against-white-house-physician.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/us/2018/06/04/pentagon-probing-allegations-against-white-house-physician/_jcr_content/par/featured-media/media-0.img.png/0/0/1528142347477.png?ve=1
2837,Associated Press,The United Nations says a Tanzanian peacekeeper was killed and seven others wounded in the Central African Republic when a U.N. patrol was ambushed.,2018-06-04T19:18:55Z,fox news,"UN says 1 peacekeeper killed, 7 wounded in CAfrican Republic",http://www.foxnews.com/world/2018/06/04/un-says-1-peacekeeper-killed-7-wounded-in-cafrican-republic.html,http://global.fncstatic.com/static/orion/styles/img/fox-news/og/og-fox-news.png
2838,Cristina Johnson,"When people look back at the US immigration debate, they might point to May 2018 as a turning point. There were major events that made national news and smaller rumblings that could pave the way for seismic shifts. A caravan crossing the US-Mexico border spar…",2018-06-04T19:07:43Z,fox news,"Former Secretary of Homeland Security Jeh Johnson Says He “Could Not, As a Matter of Policy or Practice, Separate a Child From Its Mother or Father”",https://radio.foxnews.com/2018/06/04/former-secretary-of-homeland-security-jeh-johnson-says-he-could-not-as-a-matter-of-policy-or-practice-separate-a-child-from-its-mother-or-father/,https://radio.foxnews.com/wp-content/uploads/2018/06/unnamed.jpg
2839,,Former President Bill Clinton speaks out about Monica Lewinsky scandal in light of the #MeToo movement; Fox News contributor Mo Elleithee and GOP pollster Kristen Soltis Anderson debate.,2018-06-04T18:59:47Z,fox news,Bill Clinton on Lewinsky scandal: I felt terrible,http://video.foxnews.com/v/5793439469001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793446564001_5793439469001-vs.jpg
2840,Todd Starnes Show,"The Supreme Court ruled Monday in favor of a Colorado baker who refused to make a wedding cake for a same-sex couple, in one of the most closely watched cases of the term. In a 7-2 decision, the justices set aside a Colorado court ruling against the baker -- …",2018-06-04T18:57:43Z,fox news,Judge Andrew Napolitano on Cake Ruling: Disappointed With the Outcome,https://radio.foxnews.com/2018/06/04/judge-andrew-napolitano-on-cake-ruling-disappointed-with-the-outcome/,https://radio.foxnews.com/wp-content/uploads/2015/01/judge-andrew-napolitano.jpg
2841,FOX News Radio,Comedian Kevin Downey Jr. and podcast superstar Hitha Herzog join Tom Shillue to discuss the most important stories of the day including... Howard Schultz leaving Starbucks and potentially starting a political career! PLUS: Bill Clinton's tense interview and …,2018-06-04T18:45:00Z,fox news,"Kevin Downey Jr., Hitha Herzog: The End of Howard Schultz, Bill Clinton and Cheerleaders?",https://radio.foxnews.com/2018/06/04/shillue-06-04-18-third-hour/,https://radio.foxnews.com/wp-content/uploads/2016/07/news_banner_featured_image-150x150.jpg
2842,,"From New Jersey and North Dakota to Montana, a look at notable primary competitions that you should know about.",2018-06-04T18:42:16Z,fox news,2018 primary races to watch that aren’t California,http://video.foxnews.com/v/5793439340001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793441316001_5793439340001-vs.jpg
2843,,The New York Times says President Trump's lawyers asserted he cannot be compelled to testify and cannot commit obstruction; former DOJ prosecutor James Trusty weighs in on 'The Daily Briefing.',2018-06-04T18:33:17Z,fox news,Report: President Trump says he has power to pardon himself,http://video.foxnews.com/v/5793431742001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793432981001_5793431742001-vs.jpg
2844,Associated Press,The Latest on Italy's new populist government (all times local): 8:10 p.m.,2018-06-04T18:22:38Z,fox news,The Latest: Tunisia calls Italy diplomat over Salvini remark,http://www.foxnews.com/world/2018/06/04/latest-tunisia-calls-italy-diplomat-over-salvini-remark.html,http://a57.foxnews.com/images.foxnews.com/content/fox-news/world/2018/06/04/latest-tunisia-calls-italy-diplomat-over-salvini-remark/_jcr_content/par/featured-media/media-0.img.png/0/0/1528125038172.png?ve=1
2845,,Supreme Court rules in favor of baker in Colorado same-sex wedding cake case; insight from 'Fox News @ Night' host Shannon Bream.,2018-06-04T18:19:35Z,fox news,Court ruled 7-2 in favor of Colorado baker Jack Phillips,http://video.foxnews.com/v/5793420788001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793432956001_5793420788001-vs.jpg
2846,Hollie McKay,"More than seven months since ISIS operatives were defeated in their once “caliphate” capital of Raqqa, Syria and the city remains something of an apocalyptic wasteland, of which the ramifications of four years of ISIS occupation followed by four months of int…",2018-06-04T18:18:00Z,fox news,"Inside Raqqa: From ISIS 'caliphate' to crumpled city of landmines, and loss",http://www.foxnews.com/world/2018/06/04/inside-raqqa-from-isis-caliphate-to-crumpled-city-landmines-and-loss.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/0/0/694940094001_5793335037001_5793322521001-vs.jpg?ve=1
2847,Katherine Lam,"A Guatemala police officer attempting to escape the dooming cloud of ash rushing toward him captured the moment the Volcan del Fuego erupted, sending people fleeing by foot and car before the thick, gray dust engulfs them.",2018-06-04T18:15:00Z,fox news,"Guatemala police officer captures moment 'Volcano of Fire' erupts, engulfing streets in ash",http://www.foxnews.com/world/2018/06/04/guatemala-police-officer-captures-moment-volcano-fire-erupts-engulfing-streets-in-ash.html,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/0/0/694940094001_5793407738001_5793409499001-vs.jpg?ve=1
2848,Associated Press,"Turkey has threatened to attack Iraq's Qandil region, where outlawed Kurdish rebels maintain their headquarters.",2018-06-04T18:14:07Z,fox news,Turkey says it may attack Kurdish rebel stronghold in Iraq,http://www.foxnews.com/world/2018/06/04/turkey-says-it-may-attack-kurdish-rebel-stronghold-in-iraq.html,http://global.fncstatic.com/static/orion/styles/img/fox-news/og/og-fox-news.png
2849,,"North Korean leader Kim Jong Un has reportedly shaken up his military, removing three top officials from their posts; reaction from Congressman Jim Banks, Republican member of the House Armed Services Committee.",2018-06-04T18:06:41Z,fox news,Banks: Reports Kim replaced military officials is good sign,http://video.foxnews.com/v/5793415933001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793424615001_5793415933001-vs.jpg
2850,,Jim Brulte claims the enthusiasm gap with Democratic voters has shrunk and early voting shows Republican candidates are already over-performing expectations.,2018-06-04T18:05:35Z,fox news,California GOP chair 'very excited' for Tuesday's primaries,http://video.foxnews.com/v/5793416635001/,http://a57.foxnews.com/media2.foxnews.com/BrightCove/694940094001/2018/06/04/640/360/694940094001_5793431207001_5793416635001-vs.jpg
