,author,category,description,publishedAt,source,title,url
25,Matt Spetalnick ,World News,No sign of any activity toward dismantling any missile test site so far,"Thu, 21 Jun 2018 11:14:14 +0000",infowars,U.S. identifies North Korea missile test site it says Kim committed to destroy,https://www.infowars.com/u-s-identifies-north-korea-missile-test-site-it-says-kim-committed-to-destroy/
26,Reid Wilson ,U.S. News,'White fertility has gone down. There’s a little bit less white immigration in the last year',"Thu, 21 Jun 2018 11:11:57 +0000",infowars,America’s white population shrinks for the first time as nation ages,https://www.infowars.com/americas-white-population-shrinks-for-the-first-time-as-nation-ages/
27,Chris Menahan  ,Featured Stories,President Obama forcefully told Central American parents in 2014 not to send their children unaccompanied to America.,"Thu, 21 Jun 2018 11:11:43 +0000",infowars,Obama to Central Americans in 2014: “Don’t Send Your Children Unaccompanied… They’ll Get Sent Back!”,https://www.infowars.com/obama-to-central-americans-in-2014-dont-send-your-children-unaccompanied-theyll-get-sent-back/
28,Stephen Gutowski ,U.S. News,"Civilians own 100 times as many guns as the military, 400 times as many as police","Thu, 21 Jun 2018 11:08:48 +0000",infowars,Report: Nearly 400 Million Civilian-Owned Guns in America,https://www.infowars.com/report-nearly-400-million-civilian-owned-guns-in-america/
29,Daily Wire,Featured Stories,"""Don’t try to find me because you won’t."" ","Thu, 21 Jun 2018 11:02:21 +0000",infowars,"Democrat Volunteer Threatens To Kill Republican Reps’ Kids Over ‘Zero Tolerance’ Immigration Policy, Report Says",https://www.infowars.com/democrat-volunteer-threatens-to-kill-republican-reps-kids-over-zero-tolerance-immigration-policy-report-says/
30,Daily Caller,Featured Stories,"""He’s going home to his mom. Say hello to Mommy!”","Thu, 21 Jun 2018 10:53:33 +0000",infowars,"‘Was That A Man Or A Woman?’ — A Protester Interrupts Trump’s Rally, He Makes Him Instantly Regret It",https://www.infowars.com/was-that-a-man-or-a-woman-a-protester-interrupts-trumps-rally-he-makes-him-instantly-regret-it/
31,Daily Caller,Featured Stories,Kim Kardashian said she wants to see President Donald Trump “succeed” and called out “everyone who doesn’t want that.”,"Thu, 21 Jun 2018 10:44:41 +0000",infowars,"Kim Kardashian: I Want Trump ‘To Succeed,’ It’s Crazy That ‘Everyone Doesn’t Want That’",https://www.infowars.com/kim-kardashian-i-want-trump-to-succeed-its-crazy-that-everyone-doesnt-want-that/
32,Michael Snyder Economic Collapse,Featured Stories,Simply being disillusioned is not going to be enough to make us ungovernable.,"Thu, 21 Jun 2018 10:30:41 +0000",infowars,Is The United States On A Road To Becoming Ungovernable?,https://www.infowars.com/is-the-united-states-on-a-road-to-becoming-ungovernable/
33,Alex Jones ,Featured Stories,Inspector General says Hillary and aides were never interviewed prior to exoneration.,"Thu, 21 Jun 2018 01:15:39 +0000",infowars,Watch: IG Admits FBI Conducted Fraudulent Investigation into Hillary,https://www.infowars.com/live-now-ig-admits-fbi-conducted-fraudulent-investigation-into-hillary/
34,Infowars.com,Featured Stories,'Please continue on I-40 until you have left...',"Thu, 21 Jun 2018 00:43:10 +0000",infowars,Texas Billboard Tells Liberals: Keep Going ‘Until You Have Left Our Great State’,https://www.infowars.com/texas-billboard-tells-liberals-keep-going-until-you-have-left-our-great-state/
35,Infowars.com,Featured Stories,Parent pulls baby from clergyman's grasp after bizarre slap in face.,"Wed, 20 Jun 2018 23:53:49 +0000",infowars,Shock Video: Catholic Vampire Priest Attacks Baby,https://www.infowars.com/shock-video-catholic-priest-slaps-infant-in-face/
36,Infowars.com,Featured Stories,'It is time to end family detention once and for all.',"Wed, 20 Jun 2018 23:28:39 +0000",infowars,Keeping Families Together Not Enough – Liberals Demand Amnesty Now!,https://www.infowars.com/keeping-families-together-not-enough-liberals-demand-amnesty-now/
37,Jamie White,Featured Stories,Roger Stone banned from platform for much less.,"Wed, 20 Jun 2018 23:15:01 +0000",infowars,"Outrage After Twitter Ignores Peter Fonda’s Shocking Barron, Rape Comments",https://www.infowars.com/outrage-after-twitter-ignores-peter-fondas-shocking-barron-rape-comments/
38,Infowars.com,Featured Stories,"'Don’t worry, the Republicans, and your President, will fix it!'","Wed, 20 Jun 2018 22:45:08 +0000",infowars,Epic Video: Trump Mocks Democrats’ Lack of Action on Immigration,https://www.infowars.com/epic-video-trump-mocks-democrats-lack-of-action-on-immigration/
39,The Alex Jones Show,Globalism,Just like Europe.,"Wed, 20 Jun 2018 22:36:40 +0000",infowars,Overrunning America With Illegals Is The Plan,https://www.infowars.com/overrunning-america-with-illegals-is-the-plan/
40,The Alex Jones Show,Government,The left remains silent.,"Wed, 20 Jun 2018 22:25:53 +0000",infowars,Medical Kidnapping Has Separated Mothers From Children For Decades,https://www.infowars.com/medical-kidnapping-has-separated-mothers-from-children-for-decades/
41,The Alex Jones Show,Featured Stories,Conservative commentator explains his journey.,"Wed, 20 Jun 2018 22:19:32 +0000",infowars,The Amazing Lucas Tells All About His Awakening From The Liberal Lunatic Asylum,https://www.infowars.com/the-amazing-lucas-tells-all-about-his-awakening-from-the-liberal-lunatic-asylum/
42,Joe Jankowski ,Featured Stories,Says border mess nothing new,"Wed, 20 Jun 2018 22:17:26 +0000",infowars,Ron Paul: Liberal Circus Over Border Not About Children – It’s Good Politics,https://www.infowars.com/ron-paul-liberal-demagoguing-not-about-the-children-its-good-politics/
43,David Knight,Science & Tech,Famous TV show predicted future spy state.,"Wed, 20 Jun 2018 20:47:35 +0000",infowars,What THE PRISONER Tells About SMART CITIES,https://www.infowars.com/what-the-prisoner-tells-about-smart-cities/
